De,Para
B450,BAGUETTE 450
BAG450,BAGUETTE 450
B550,BAGUETTE 550
BAG550,BAGUETTE 550
B620,BAGUETTE 620
BAG620,BAGUETTE 620
B680,BAGUETTE 680
BAG680,BAGUETTE 680
B750,BAGUETTE 750
BAG750,BAGUETTE 750
B820,BAGUETTE 820
BAG820,BAGUETTE 820
BBRAVIOCL2,BUCK BRAVIO CL2
BCOLIH,BUCK COLIHUE
BCUME,BUCK CUMELEN
BDEST,BUCK DESTELLO
BG620,BAGUETTE 620
BGTTE 620,BAGUETTE 620
BG680,BAGUETTE 680
BG750,BAGUETTE 750
BIOINTA 1006
1006,BIOINTA 1006
1008,BIOINTA 1008
BMET,BUCK METEORO
BMUT,BUCK MUTISIA
BPEREGR,BUCK PEREGRINO
AMANCAY,BUCK AMANCAY
"BUCK AMANCAY\r\nAMANCAY",BUCK AMANCAY
"BUCK FULGOR\r\nFULGOR",BUCK FULGOR
"BUCK MUTISIA\r\nMUTISIA",BUCK MUTISIA
"BUCK PRETAL\r\nPRETAL",BUCK PRETAL
"BUCK SAETA\r\nSAETA",BUCK SAETA
"IS HORNERO\r\nHORNERO",IS HORNERO
"KLEIN NUTRIA\r\nNUTRIA",KLEIN NUTRIA
BUCK BRAVIO,BUCK BRAVIO CL2
BUCK FULGOOR,BUCK FULGOR
BUCK FULGOR
FULGOR,BUCK FULGOR
DMCEIBO,CEIBO
DMTBIO AUDAZ,TBIO AUDAZ
GINGKO,GINGKO
GUAYAVO,GUAYABO
GUYABO,GUAYABO
HORNERO,IS HORNERO
K.100ANOS,KLEIN CIEN AÑOS
K.CIEN ANOS,KLEIN CIEN AÑOS
KLEIN 100ANOS,KLEIN CIEN AÑOS
KLEIN CIEN AA'OS,KLEIN CIEN AÑOS
KLEIN CIEN ANOS,KLEIN CIEN AÑOS
KLFAVORI,KLEIN FAVORITO 2
KLLIEBRE,KLEIN LIEBRE
KLNUTR,KLEIN NUTRIA
KLNUTRIA,KLEIN NUTRIA
KLPROME,KLEINPROMETEO
KLTITANCL,KLEIN TITANIO CL
LGWA-11-01,LGWA11 PAMPERO
LGWA11,LGWA11 PAMPERO
LGWA11 (PAM),LGWA11 PAMPERO
LGWA11 PAMPERO,LGWA11 PAMPERO
LGWA11-0169,LGWA11 PAMPERO
LGWA11-0169 (PAMPERO),LGWA11 PAMPERO
MSINTA B. 817,MSINTA 817
MSINTA B817,MSINTA 817
MSINTA BON817,MSINTA 817
MSINTA MDABONAERENSE 122,MS INTA MDA BONAERENSE 122
MSMB122,MS INTA MDA BONAERENSE 122
MSINTA MDABONAERENSE 221,MS INTA221
TBIOAUDAZ,TBIO AUDAZ
TUCELITE 17,TUCELITTE 17
TUCELITE 43,TUCELITTE 43
sem_empresa,corrigido
362,ACA 362
K.100 ANOS,KLEIN CIEN AÑOS
K.GEMINIS,KLEIN GEMINIS
K.MINERVA,KLEIN MINERVA
K.TITANIO CL,KLEIN TITANIO CL
K.SELENIO CL,KLEIN SELENIO
K.FAVORITO II,KLEIN FAVORITO 2
MS INTA 119,MS INTA119
B.DESTELLO,BUCK DESTELLO
B.RESPLANDOR,BUCK RESPLANDOR
BUCK EXP 400528,BUCK EXP 400528
B.PEREGRINO,BUCK PEREGRINO
B.CUMELEN,BUCK CUMELEN
SY 109,SY109
B.CAMBA,BUCK CAMBÁ
B.COLIHUE,BUCK COLIHUE
RGT QUIRICO,RGT QUIRIKO
KLEIN SELENIO CL,KLEIN SELENIO
KLEIN FAVORITO II,KLEIN FAVORITO 2
KLEIN PROMETEO,KLEINPROMETEO
PAMPERO,PAMPERO
ARLASK,LG ARLASK
K.LIEBRE,KLEIN LIEBRE
K.PROMETEO,KLEINPROMETEO
K.NUTRIA,KLEIN NUTRIA
K.POTRO,KLEIN POTRO
K.VALOR,KLEIN VALOR
MS INTA B 817,MS INTA BONAERENSE 817
GINKO,GINGKO
LG PAMPERO,LG PAMPERO
B. BRAVIO,BUCK BRAVIO CL2
B.SAETA,BUCK SAETA
B.FULGOR,BUCK FULGOR
MS INTA B. 817,MS INTA BONAERENSE 817
LGWA11 PAMPERO,LGWA11 PAMPERO
HO CARCARNA,HO CARCARAÑA
KLEIN 100 ANOS,KLEIN CIEN AÑOS
LGZAINO,LG ZAINO
HO CARCARANA,HO CARCARAÑA
BUCK MUTISIA,BUCK MUTISIA
BUCK AMANCAY,BUCK AMANCAY
B CUMELEN,BUCK CUMELEN
B DESTELLO,BUCK DESTELLO
B PACIFICO,BUCK PACIFICO
B PEREGRINO,BUCK PEREGRINO
B 620,BAGUETTE 620
B 680,BAGUETTE 680
B 750,BAGUETTE 750
B 820,BAGUETTE 820
B COLIHUE,BUCK COLIHUE
K CIEN ANOS,KLEIN CIEN AÑOS
K FAVORITO II,KLEIN FAVORITO 2
K GEMINIS,KLEIN GEMINIS
K LIEBRE,KLEIN LIEBRE
K PROMETEO,KLEINPROMETEO	
MS INTA 215,MS INTA BONAERENSE 215
B FULGOR,BUCK FULGOR
B METEORO,BUCK METEORO
B MUTISIA,BUCK MUTISIA
B SAETA,BUCK SAETA
K NUTRIA,KLEIN NUTRIA
K POTRO,KLEIN POTRO
K VALOR,KLEIN VALOR
MS INTA 817,MS INTA BONAERENSE 817
B AMANCAY,BUCK AMANCAY
B BRAVIO CL2,BUCK BRAVIO CL2
B 450,BAGUETTE 450
B 550,BAGUETTE 550
A'ANDUBAY,ÑANDUBAY
B.PACIFICO,BUCK PACIFICO
QUIRIKO,RGT QUIRIKO
B.METEORO,BUCK METEORO
BG 620,BAGUETTE 620
BG 680,BAGUETTE 680
BG 750,BAGUETTE 750
ACA 365,365
BAG 620,BAGUETTE 620
BAG 680,BAGUETTE 680
BAG 750,BAGUETTE 750
B RESPLANDOR,BUCK RESPLANDOR
B CAMBA,BUCK CAMBÁ
KL FAVORITO,KLEIN FAVORITO 2
KL CIEN ANOS,KLEIN CIEN AÑOS
KL GEMINIS,KLEIN GEMINIS
KL MINERVA,KLEIN MINERVA
KL SELENIO CL,KLEIN SELENIO
KL TITAN CL,KLEIN TITANIO CL
MS 119,MS INTA119
BAG 450,BAGUETTE 450
BAG 550,BAGUETTE 550
BBRAVIO CL2,BUCK BRAVIO CL2
BIO 1006,BIOINTA 1006
BIO 1008,BIOCERES 1008
KL LIEBRE,KLEIN LIEBRE
KL NUTRIA,KLEIN NUTRIA
KL POTRO,KLEIN POTRO
KL PROMETEO,KLEINPROMETEO
KL VALOR,KLEIN VALOR
MS 415,MS INTA 415
MS 815,MS INTA 815
MSB 817,MS INTA BONAERENSE 817
HOATUEL,HO ATUEL
ACA360,ACA 360
ACA362,ACA 362
ALGARR,ALGARROBO
ALHAM,ALHAMBRA
BCAMBA,BUCK CAMBÁ
BPACIFICO,BUCK PACIFICO
BRESPL,BUCK RESPLENDOR
KLEIN FAVORITO,KLEIN FAVORITO 2
JACARAN,JACARANDA
KL.CIEN,KLEIN CIEN AÑOS
KLGEMINIS,KLEIN GEMINIS
KLMINE,KLEIN MINERVA
KLSELENIO,KLEIN SELENIO
KLEIN TITAN CL,KLEIN TITANIO CL
LGARLAS,LG ARLASK
MS119,MS INTA119
RGTQUIRI,RGT QUIRIKO
SY120,SY 120
SY200,SY 200
SY211,SY 211
HOCARC,HO CARCARAÑA
ACA308,ACA 308
ACA602,ACA 602
ACA604,ACA 604
MS415,MS INTA 415
NANDUB,ÑANDUBAY
ACA917,ACA 917
BFULGOR,BUCK FULGOR
BIO1006,BIOINTA 1006
BIO1008,BIOCERES 1008
BSAETA,BUCK SAETA
ISHORNERO,IS HORNERO
ISTORDO,IS TORDO
KLPOTRO,KLEIN POTRO
KLVALOR,KLEIN VALOR
MS815,MS INTA 815 
MSB817,MS INTA BONAERENSE 817
SY330,SY 330
MS INTA BONAERENSE 119,MS INTA119
MS INTA BONAERENSE 122,MS INTA MDA BONAERENSE 122
CL,KLEIN SELENIO
BIOINTA 1008,BIOCERES 1008
MUTISIA,BUCK MUTISIA
BUCK PRETAL
PRETAL,BUCK PRETAL
BUCK SAETA
SAETA,BUCK PRETAL
SARANDI,SARANDI
MINERVA,KLEIN MINERVA
TERO,IS TERO
TORDO,IS TORDO
AUDAZ,TBIO AUDAZ
ZAINO,LG ZAINO
FAVORITO II,KLEIN FAVORITO 2
PROMETEO,KLEINPROMETEO
GEMINIS,KLEIN GEMINIS
100 ANOS,KLEIN CIEN AÑOS
PACIFICO,BUCK PACIFICO
SELENIO,KLEIN SELENIO
NIANDUBAY,ÑANDUBAY
BRAVIO,BUCK BRAVIO CL2
SYN 120,SY 120
B 370502,370502
ACA 462,ACA 462
POTRO,KLEIN POTRO
VALOR,KLEIN VALOR
NUTRIA,KLEIN NUTRIA
ELITE 43,ELITE 43
BUCK AUDAZ,TBIO AUDAZ
FULGOR,BUCK FULGOR
INTA 817,MS INTA BONAERENSE 817
COLIHUE,BUCK COLIHUE
ELITE 17,ELITE 17
BUCK FAVORITO II,KLEIN FAVORITO 2
KLEIN.POTRO,KLEIN POTRO
BUCK.HORNERO,IS HORNERO
SP 12,SP 12
K.SELENIO,KLEIN SELENIO
B.CUMULEN,BUCK CUMELEN
LIEBRE,KLEIN LIEBRE
MS INTA BON 817,MS INTA BONAERENSE 817
MS INTA 122,MS INTA MDA BONAERENSE 122
MS INTA MDA BONAERENSE 221,MS INTA221
ACA363,ACA 363
ACA364,ACA 364
ACA502,ACA 502
ACA605,ACA 605
ISTERO,IS TERO
LGMORO,LG MORO
MS122,MS INTA MDA BONAERENSE 122
MS221,MS INTA221
MS521,MS INTA 521
ACA921,ACA 921
BPRETAL,BUCK PRETAL
BAG525,BAGUETTE 525
BCOLIHUE,BUCK COLIHUE
BCUMELEN,BUCK CUMELEN
BDESTELLO,BUCK DESTELLO
BPEREGRINO,BUCK PEREGRINO
HOCARCARANA,HO CARCARAÑA
KLCIENANOS,KLEIN CIEN AÑOS
KLMINERVA,KLEIN MINERVA
KLSELENIO CL,KLEIN SELENIO
LGLIMAY,LIMAY
MSINTA BONAERENSE 122,MS INTA MDA BONAERENSE 122
ACA460,460
ACA603,603
ACA916,916
ACA920,920
BMUTISIA,BUCK MUTISIA
KLFAVORITO,KLEIN FAVORITO 2
KLPROMETEO,KLEINPROMETEO
LGARLASK,LG ARLASK
RGTQUIRICO,RGT QUIRIKO
B.AIMARA,BUCK AIMARA
B.PRETAL,BUCK PRETAL
B.AMANCAY,BUCK AMANCAY
B.MUTISIA,BUCK MUTISIA
BAYO,LGBAYO
TUC ELITE 17,TUC ELITE 17
TUC ELITE 43,TUC ELITE 43
TUC GRANIVO,TUC GRANIVO
CANARIO,IS CANARIO
NEO 30T23,NEO30T23
PICASSO,LG PICAZO
LG BAYO,LGBAYO
NEO 50T23,NEO50T23
IMS INTA 415,MS INTA 415
MORO,LG MORO
PRETAL,BUCK PRETAL
QUIRICO,RGT QUIRIKO
PICAZO,LG PICAZO
B370502,370502
TUC ELITTE 17,TUC ELITTE 17
TUC ELITTE 43,TUC ELITTE 43
BUCK PEHUEN,PEHUEN
BUCK PICAZO,LG PICAZO
ACA607,ACA 607
LG LIMAY,LIMAY
LG ZONDA,ZONDA
MS INTA B 324,MS INTA MDA BOANERENSA 324
MS INTA B 423,MS INTA MDA BONAERENSE 423
BAGUETTE 610,610 BAGUETTE
ACA 915,915
ACA 916,916
AIMARA,BUCK AIMARA
AUDAZ,TBIO AUDAZ
BAIMARA,BUCK AIMARÁ
BBAGUETTE 750,BAGUETTE 750
BIO BASILIO,BASILIO
"BIOINTA 1006\r\n1006",BIOINTA 1006
BIOINTA 1008,BIOCERES 1008
"BIOINTA 1008\r\n1008",BIOCERES 1008
BRAVIO CL2,BUCK BRAVIO CL2
BUCK 450,BAGUETTE 450
BUCK AIMARA,BUCK AIMARÁ
BUCK BRAVIO,BUCK BRAVIO CL2
BUCK CAMBA,BUCK CAMBÁ
BUCK CUMULEN,BUCK CUMELEN
BUCK FAVORITO 2,KLEIN FAVORITO 2
BUCK FULGOR FULGOR,BUCK FULGOR
B MUTISIA, BUCK MUTISIA
BUCK MUTISIA MUTISIA, BUCK MUTISIA
BUCK PRETAL PRETAL,BUCK PRETAL
BUCK RESPLENDOR,BUCK RESPLANDOR
BUCK SAETA SAETA, BUCK SAETA
BUCK ZAETA,BUCK SAETA
EXP. ARCE,ARCE
GINKGO, GINGKO
GINKO,GINGKO
ISHORNERO,IS HORNERO
KLEIN CIEN AÑOS,KLEIN CIEN AÑOS
KLEIN NUTRIA NUTRIA,KLEIN NUTRIA
KLEIN NUTRIN,KLEIN NUTRIA
KLEIN SELENIO CL,KLEIN SELENIO
KLEIN TITAN CL,KLEIN TITANIO CL
KLEIN TITANIO,KLEIN TITANIO CL
MS INTA 221,MS INTA221
MS INTA 324, MS INTA MDA BOANERENSA 324
MS INTA 423,MS INTA MDA BONAERENSE 423	
MS INTA BONAERENSE 221,MS INTA221	
MS INTA BONAERENSE 415,MS INTA 415
MS INTA BONAERENSE 521,MS INTA 521
MSINTA BONAERENSE 122,MS INTA MDA BONAERENSE 122
NANDUBAY,ÑANDUBAY
QUIRIKO,RGT QUIRIKO
ZAETA,BUCK SAETA
